Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMP1O7G8W_Facebook_Multiple_Mixed_CDNA_as-18a64-net_SSNT_CPM_-ucl-awareness,Multiple_Mixed_-ucl-messi_3s_meta-awareness-CDNA,"4475,61",152850,188322,521,3,232,3,3,27396,27358,1,awareness,video 3s
-_Conversao_Conversion_Social-Auction__N/A_Facebook-LAL,PBFQE6DWL_Facebook_Multiple_Mixed_LaL_10%-Cadastros-_SSNT_CPA_Conversao,Display_Banner_KV-Master_4x5_Estatico,"4475,47",847238,1048219,2545,41,1294,73,72,,,0,conversao,display
__-_P_-PIX_A_CONV_BL_-_-_CONV_CONVTESTE-3CEL1_21_4.8_19.8__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE-SF-ALL-BRANDS_MULTIPLE_PO_PO,PHOTOAD_-COMAEGANHE_-_OTHERS_PPP_-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE_SF_ALL_BRANDS_MULTIPLE_PO_PO,"4472,92",342206,701650,2394,74,871,38,19,,,0,conversao,estático
__-_L_-TUBO_A_BRAND_BL_-_-_BRAND_TEASER_21_8.3_14.3,-TUBO_BRAND_FB-IG_BL_-_-_BRAND_SNEAK-PEEK_CPI_TG_T011_VIDEO_FB-IG_PO_AMPLO,VIDEO_SNEAK-PEEK_-_QUAD-VERT_VPL_-TUBO_BRAND_FB-IG_BL_-_-_BRAND_TEASER_CPI_TG_T011_VIDEO_FB-IG_PO_AMPLO,4453,2344297,3710247,24,21,4044,99,11,156039,18862,0,awareness,video
__-_L_-TUBO_A_BRAND_BL_-_-_BRAND_TEASER_21_8.3_14.3,-TUBO_BRAND_FB-IG_BL_-_-_BRAND_SNEAK-PEEK_CPI_TG_T012_VIDEO_FB-IG_PO_AMPLO,VIDEO_SNEAK-PEEK_-_QUAD-VERT_VPL_-TUBO_BRAND_FB-IG_BL_-_-_BRAND_TEASER_CPI_TG_T011_VIDEO_FB-IG_PO_AMPLO,4453,3383566,4360993,11,10,2527,112,14,206785,24505,0,awareness,video
__-_L_-TUBO_A_VID_BL_-_-_VID_TEASER_21_9.3_14.3,-TUBO_VID_FB-IG_BL_-_-_VID_SNEAK-PEEK_CPM_TG_T011_VIDEO_FB-IG_PO_AMPLO,VIDEO_SNEAK-PEEK_11-15S_QUAD-VERT_VID_-TUBO_VID_FB-IG_BL_-_-_VID_TEASER-CAMERA_CPM_TG_T011_VIDEO_FB-IG_PO_AMPLO,4453,248757,419838,1,3,223,11,,258111,220632,0,awareness,video 15s
__-_L_-TUBO_A_VID_BL_-_-_VID_TEASER_21_9.3_14.3,-TUBO_VID_FB-IG_BL_-_-_VID_SNEAK-PEEK_CPM_TG_T012_VIDEO_FB-IG_PO_AMPLO,VIDEO_SNEAK-PEEK_11-15S_QUAD-VERT_VID_-TUBO_VID_FB-IG_BL_-_-_VID_TEASER-CAMERA_CPM_TG_T012_VIDEO_FB-IG_PO_AMPLO,4453,302378,347262,2,,35,3,,250351,215449,0,awareness,video 15s
_L-_P_VAI-E-VOLTA_A_BRAND_BL_-_-_BRAND_AWARENESS_21_5.1_1.11__AWARENESS_-,VAI-E-VOLTA_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTAÇÃO_CPM_TG_T004_VIDEO_PO_PO,PHOTOAD_PARTICIPE-DA-ÇÃO_-_QUAD-VERT_PPL_VAI-E-VOLTA_BRAND_FB-IG_BL_-_-_BRAND_SUSTENTAÇÃO_CPM_TG_T004_PHOTOAD_PO_PO,"4450,39",1726524,2524534,3192,5,178,18,19,,,0,awareness,estático
__-_E-M_FLAMIN-HOT_A_VID_BL_-_-_VID_HERO-BONUS_20_28.12_14.01,FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HEROS_CPV_TG_T015_VIDEO_PO_NF_AMPLO,"VIDEO_HERO30""_-_QUAD-VERT_VID_FLAMIN-HOT_VID_FB-IG_BL_-_-_VID_HEROS_CPV_TG_T015_VIDEO_PO_NF_AMPLO","4443,18",2361343,3126567,8,293,9962,331,234,792377,103082,0,awareness,video
AON_NA_Awareness_Social-Auction_Equity_N/A_Receitas,PBFK90L4M_Facebook_Video_Video_Interests_T041_SSNT_CPM_Cortes,Video_Video_Mousse_6s_-AON-Tastemade,"4442,77",2817556,7884796,3608,30,4652,,43,237139,125268,0,awareness,video 6s
