Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
__-_E-M_PACOTE-VIAGEM_A_REACH_BL_-_-_BRAND_LANÇAMENTO-15S_20_9.11_23.11,PACOTE-VIAGEM_REACH_FB-IG_BL_-_-_BRAND_HERO-15S-1_CPM_TG_T003_VIDEO_PO_PO_AMPLO,VIDEO_HERO-15S-2_11-15S_OTHERS_VID_PACOTE-VIAGEM_REACH_FB-IG_BL_-_-_BRAND_HERO-15S-2_CPM_TG_T003_VIDEO_PO_PO_AMPLO,"624863,52",0,54420124,96927,501,47190,1257,1172,3769938,567234,0,awareness,video 15s
asil_Summer_NA_Awareness_Direct_Equity_NA_Meta-awareness,PBFM3B5TZ_Facebook_Multiple_Mixed_Interests_18-35_AS_CPM_summer-linha-awareness,Video_Stories_anitta-e-chester_9x16_-summer,"381176,54",49446660,183548753,3014,1802,71116,800,3368,9921577,3307796,1,awareness,video stories
_BNC-ASC_Meta_Conversion_Social-Auction__NA_-conversao-ASC,LAMPN5KEG0_Facebook_Multiple_Mixed_Amplo_AS-18+_SSNT_CPM_-BNC-conversao-ASC,Display_Mixed_-BNC-ASC_0x0_meta-conversao-asc,"375217,94",23336469,117236628,231970,2795,46801,3337,4265,735,393,0,conversao,display
__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11,PACOTE-VIAGEM_VID_FB_-_-_-_VID_DPP_CPV_CA_C001_VIDEO_FB_PO_RMKT,__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11_DPP,"361332,11",0,3240618,7366,1398,11810,566,3199,,,0,consideracao,video
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Video_Video_equity-hero-6s_0x0_meta-awareness-demo-ago,"335637,95",54919665,191772011,139425,394,40735,287,765,6252397,2842957,0,awareness,video 6s
Anitta_Equity_Awareness_Social_NA_N/A_LANCAMENTO-BR,PBF9X1ZC7_Facebook_Video_Video_Interests_T054_AS_Auction_HERO,Video_Video_HERO_15s_-Anitta,332000,47268128,91352360,216497,1549,38372,569,635,5618080,1176717,1,awareness,video 15s
_lance-perfeito_Meta_Conversion_Social-Auction__NA_meta-conversao,LAMPXQ0GSF_Facebook_Multiple_Mixed_LaL_18+_AS_CPM_lance-perfeito-meta,Display_Image_lance-perfeito_1080x1080_meta-lookalike-dinheiro,"327701,78",22339533,112355858,120499,2217,45940,3621,2850,,,0,conversao,display
_equity-nacional-trajetorias_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMP6BMGBT_Facebook_Multiple_Mixed_Demo_AS-18a34-BR_SSNT_CPM_-equity-trajetorias,Video_Video_-equity-trajetoria-jao_0x0_meta-awareness,"287240,5",48231838,158577875,102466,145,23357,120,636,4054381,567108,0,awareness,video
asil_Summer_NA_Awareness_Direct_Equity_NA_Meta,PBFQHLD3D_Facebook_Video_Stories_Interests_18-35_AS_CPV_videos--anitta,Video_Stories_video-publi-anitta_9x16_-summer-anitta,"278957,92",13717478,76858209,123,541,46515,7,1281,7676538,3646572,1,awareness,video stories
LAB_BR___-Portfolio_classico-se-ganha-suando_Meta_Consideration_Social-Auction_Equity_NA_-videoviews-minidocs,LAMPNFRH26_Facebook_Video_Mixed_Interests_AS-18a55-BR-MiniDocumentario_SSNT_CPM_-classico-se-ganha-suando,Video_Mixed_-classicos-minidocumentario-30s_0x0_meta-consideracao,"259864,18",12490014,42794806,90679,193,42962,1505,368,13396086,3211833,0,consideracao,video 30s
_Farm-2-Pack_Meta_Awareness_Social-Auction_Equity_NA_-videoviews,LAMPA8KPZ2_Facebook_Multiple_In-Stream_Interests_AS-25-35-Audiencias_SSNT_CPV_-f2p,Video_In-Stream_f2p-hero-fabio_16x9_meta-videoviews,"251981,16",2804168,10649108,149615,,2,1,1,8450841,7538300,0,awareness,video
LAB_BR___-Portfolio_classico-se-ganha-suando_Meta_Awareness_Social-Auction_Equity_NA_-awareness,LAMPIALU6H_Facebook_Multiple_Mixed_Interests_AS-18-55-BR_SSNT_CPM_-classico-awareness,Video_Video_-classicos_30s_meta-awareness,"221537,17",21593451,166112626,91425,52,27710,469,252,5800684,388980,0,awareness,video 30s
__-_I_BUFFALO-WINGS_A_VID_BL_-_-_VID_CLIPE-E-PILULAS_21_30.3_20.5_SUSTENTACAO,BUFFALO-WINGS_VID_FB-IG_BL_-_-_VID_VIDEO-CLIPE_CPV_TG_T005_MULTIPLE_PO_PO_AMPLO,VIDEO_PILULA-6S_4-6S_OTHERS_VID_BUFFALO-WINGS_VID_FB-IG_BL_-_-_VID_PILULA-6S_CPV_TG_T005_MULTIPLE_PO_PO_AMPLO,"218555,25",11363360,42362141,237,1014,41915,1540,1996,23350126,20368267,0,consideracao,video 6s
__-_I_MEXICAN-SAUCE_A_VID_BL_-_-_VID_-_21_13.9_4.1_BRANDING_SUPPORT_SUSTENTACAO,MEXICAN-SAUCE_VID_FB-IG_BL_-_-_VID_SUSTENTACAO_CPV_TG_T021_MULTIPLE_PO_PO,VIDEO_COLETIVA_-_4:5_VID_MEXICAN-SAUCE_VID_FB-IG_BL_-_-_VID_SUSTENTACAO_CPV_TG_T020_MULTIPLE_PO_PO,"212963,35",10112901,48337963,34,173,12151,535,1755,5882231,2731739,0,consideracao,video
__-_P_O-VERAO-MAIS-HOT_A_BRAND_BL_-_-_BRAND_AWARENESS_21_20.1_2.1,O-VERAO-MAIS-HOT_BRAND_FB-IG_BL_-_-_BRAND_HERO-MOBILE_CPM_TG_T023_VIDEO_PO_PO_AMPLO,VIDEO_HERO15S_11-15S_HOR-QUAD_VID_O-VERAO-MAIS-HOT_BRAND_FB-IG_BL_-_-_BRAND_HERO-MOBILE_CPM_TG_T023_VIDEO_PO_PO_AMPLO,"210203,32",40361778,119059864,158086,825,31759,1030,876,5071891,761593,0,awareness,video 15s
_lance-perfeito_Meta_Conversion_Social-Auction__NA_-conversao-ASC,LAMPIULWBR_Facebook_Multiple_Mixed_Audiencia_as-18a64+-net_SSNT_CPM_-lance-perfeito-conversao-ASC,Multiple_Mixed_lance-perfeito-ASC_0x0_meta-conversao-ASC,"206778,67",23097484,84119900,81394,829,15572,856,1205,107475,20383,0,conversao,múltiplo
UEFA - R&F - Alcance,New Ad Set,Giay 1 30k,"197875,63",6862850,7965820,3008,2450,13056,118,821,997134,22,0,awareness,video
__-_E-M_-TIKTOK_A_VID_BL_-_-_VID_AWARENESS_21_12.11_15.12_BRANDING_AWARENESS_BRASIL,-TIKTOK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T102_VIDEO_PO_PO,VIDEO_HERO-6S_-_QUAD-VERT_VID_-TIKTOK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T102_VIDEO_PO_PO,"197071,33",17799622,49074531,1791,1076,63168,2322,2494,8011332,4055011,0,awareness,video 6s
__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11_ NNT,PACOTE-VIAGEM_VID_FB_-_-_-_VID_DPP_CPV_CA_C001_VIDEO_FB_PO_RMKT,__-_E-M_PACOTE-VIAGEM_A_VID_-_-_-_VID_PACOTE-VIAGEM_20_26.11_30.11_DPP,"196362,12",0,1668359,2845,225,3911,417,1767,,,0,consideracao,video
__-_L_DINAMITA_A_VID_BL_IN-STREAM_CEL-2_VID_AWARENESS_21_8.12_31.12_BRANDING_SUPPORT_BRASIL,DINAMITA_VID_FB_BL_-_-_VID_AWARENESS_CPM_TG_-_VID_PO_NF,VID_HERO-15S_11-15S_QUAD-VERT_VID_DINAMITA_VID_FB_BL_-_-_VID_AWARENESS_CPM_TG_-_VID_PO_NF_V1,"195637,46",5882926,45881404,41491,314,30559,664,1448,4154101,1551908,0,awareness,video 15s
Rusticas_Facebook_Awareness_Social-Auction_Equity_NA_Facebook-BLAST1,PBFV3L0FN_Facebook_Multiple_Mixed_Interests_T012_SSNT_CPM_SP/RJ/MG/SUL,Multiple_Mixed_Hero_6s_Blast,"181734,55",15409530,27650192,36428,112,11744,566,757,2227202,947686,0,awareness,video 6s
__-_E-M_FARM-TO-PACK_A_VID_BL_-_-_VID_AWARENESS_21_5.11_13.11_BRANDING_AWARENESS_SUSTENTACAO,FARM-TO-PACK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T100_VIDEO_PO_PO,VIDEO_HERO-15S_11-15S_QUAD-VERT_VID_FARM-TO-PACK_VID_FB-IG_BL_-_-_VID_AWARENESS_CPV_TG_T100_VIDEO_PO_PO,"177027,43",4466009,9875472,95,34,4318,91,152,6971667,6122654,0,awareness,video 15s
__-_E-M_-TIKTOK_A_BRAND_BL_-_-_BRAND_AWARENESS_21_5.11_24.11_BRANDING_AWARENESS_BRASIL,-TIKTOK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T102_PHOTOAD_PO_PO,GIF_CHEGOU--TIKTOK_-_QUAD-VERT_GIF_-TIKTOK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T102_GIF_PO_PO,"173461,77",15213218,60238698,73,232,7841,207,205,1767659,374892,0,awareness,gif
_lance-perfeito_Meta_Conversion_Social-Auction__NA_meta-conversao,LAMPMWDS6V_Facebook_Multiple_Mixed_Retargeting_18+_AS_CPM_lance-perfeito-s-antigas-meta,Display_Image_lance-perfeito_1080x1080_meta-lookalike-dinheiro,"171563,04",3981314,47229850,57783,818,13699,1180,822,,,0,conversao,display
-_Facebook_Conversion_Social-Auction__NA_Finalize-Cadastro,PBFGJHY2P_Facebook_Multiple_Mixed_1st-Party+Contextual_Finalize-Cadastro_SSNT_CPA_Conversao,Video_Video_Finalize-Cadastro_10s_Awareness,"168112,4",10999864,30487587,45029,764,35985,3096,1952,211171,56065,0,conversao,video 10s
LAB_BR___-Portfolio_classico-se-ganha-suando_Meta_Awareness_Social-Auction_Equity_NA_-awareness,LAMPIALU6H_Facebook_Multiple_Mixed_Interests_AS-18-55-BR_SSNT_CPM_-classico-awareness,Video_Video_-classicos_15s_meta-awareness,"164002,54",20068278,120270183,92617,32,17738,236,101,4456517,584541,0,awareness,video 15s
TAZOS - R&F - Views,New Ad Set,Giay tay 50k,"159778,52",5279747,5582537,115,2700,10350,130,263,768266,1,0,awareness,video
__-_P_O-VERAO-MAIS-HOT_A_REACH_BL_-_-_REACH_AWARENESS-2_21_9.2_11.2,O-VERAO-MAIS-HOT_REACH_FB-IG_BL_-_-_REACH_HERO-MOBILE_CPV_TG_T023_VIDEO_FB-IG_PO_AMPLO,VIDEO_HERO6S_4-6S_QUAD-VERT_VID_O-VERAO-MAIS-HOT_REACH_FB-IG_BL_-_-_REACH_HERO-MOBILE_CPV_TG_T023_VIDEO_FB-IG_PO_AMPLO,"159144,82",33234741,33845621,40244,669,21850,601,363,2366148,861082,0,awareness,video 6s
-_Conversao_Conversion_Social-Auction__N/A_Facebook,PBFQE6DWL_Facebook_Multiple_Mixed_LaL_10%-Cadastros-_SSNT_CPA_Conversao,Display_Banner_KV-Master_4x5_Estatico,"156685,69",8374265,34674078,82909,1400,24592,1496,1559,,,0,conversao,display
_bold-love-pride_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMPDQ42TR_Facebook_Multiple_Stories_Interests_as-18a34-br_SSNT_CPM_-bold-love-awareness,Video_Stories_-pride-vitordicastro_9x16_meta-awareness,"152760,03",24313991,57075171,50043,,,,254,1391153,3218,0,awareness,video stories
Cade-Minha-Heranca_NA_Awareness_Direct__N/A_Facebook-Brasil,PBF5YRFNJ_Facebook_Multiple_Mixed_Interests_Cade-Minha-Heranca_SSNT_CPM_Brasil,Video_Video_Lancamento_4x5_0s,"150421,05",31899498,71406103,84140,223,8492,197,343,3172935,294470,0,awareness,video
_Farm-2-Pack-Core_Meta_Awareness_Social-RF_Equity_NA_-alcance-GRASPFAIL,LAMP0JAOPJ_Facebook_Multiple_Mixed_Audiencia_Core-Streaming_SSNT_CPM_-f2p-GRASPFAIL,Video_Mixed_-f2p-hero_0x0_meta-awareness-core,"149664,22",13442040,61085394,72831,292,16198,286,587,2511831,196344,0,awareness,video
__-_P_-PIX_A_CONV_BL_-_-_CONV_KVS-CONV-WHATS_21_22.7_12.9__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_LAL_CPC_TG_LAL-10%_MULTIPLE_PO_PO,BOTFB-&-IG_WHATSAPP_-_OTHERS_PPP_-PIX_CONV_FB-IG_BL_-_-_CONV_LAL_CPC_TG_LAL-10%_MULTIPLE_PO_PO,"146706,58",0,12380098,69305,2113,26532,1700,1292,,,0,conversao,múltiplo
__-_E-M_EQUITY_A_BRAND_BL_-_-_BRAND_PILULAS_21_8.9_18.9_BRANDING_SUPPORT_BRASIL,EQUITY_BRAND_FB-IG_BL_-_-_BRAND_PILULAS_CPM_TG_T018_VIDEO_PO_PO,VIDEO_HERO-15S-V1_11-15S_HOR-VERT_VID_EQUITY_BRAND_FB-IG_BL_-_-_BRAND_PILULAS_CPM_TG_T018_VIDEO_PO_PO,"144503,33",31512963,66522330,80,449,29333,576,569,4865651,607950,0,awareness,video 15s
-_Conversao_Conversion_Social-Auction__NA_BOT-Teste-Audiencia-A,PBFFV5FS4_Facebook_Multiple_Mixed_Audiencia_T031_SSNT_CPA_Interesses,Display_Banner_KV-Master_4x5_Estatico,"141762,64",4574224,15819634,69928,1241,22730,302,686,,,0,conversao,display
__-_I_MAIONESE_A_BRAND_BL_-_-_BRAND_-_21_24.11_20.12_BRANDING_AWARENESS_-,MAIONESE_BRAND_FB-IG_BL_-_-_BRAND_-_CPM_TG_T020_VIDEO_PO_PO,VIDEO_HERO-15S_11-15S_QUAD-VERT_VID_MAIONESE_BRAND_FB-IG_BL_-_-_BRAND_-_CPM_TG_T020_VIDEO_PO_PO,"140877,04",20842185,77915288,1384,127,5522,176,325,2616876,433520,0,awareness,video 15s
asil_Break_NA_Awareness_Direct_Equity_NA_Meta,asil_Break_NA_Awareness_Direct_Equity_NA_Meta,Novo anúncio de Vendas,"140380,55",521217,577913,11126,33,744,223,92,168207,32726,0,awareness,video
_regional-ocasiao-de-consumo_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMP2SJTBO_Facebook_Video_Mixed_Geo_as-18a34-cidades+40km_SSNT_CPM_-regional-awareness,Video_Mixed_-regional-ocasioes-dippas_4x5_meta-awareness,"138119,27",0,68338686,41543,141,12111,298,908,2594633,727402,0,awareness,video
_-videoview_Meta_Awareness_Social-Auction_Equity_NA_-videoview,LAMPNPNI8R_Facebook_Video_Video_Interests_AS-18-35_SSNT_CPV_-videoview,Video_Video_lancamento-hero-15s-reels_9x16_meta-videoview,"136438,41",16655058,48449943,551,1427,137295,1572,4124,10128280,4503955,0,awareness,video 15s
_BNC-Conversao_Meta_Conversion_Social-Auction__NA_-conversao,PBFXMWAJZ39NW_Facebook_Multiple_Mixed_Interests_BNC-+food_SSNT_Conversions_CPA_-conversao,Display_Banner_sua-chance-de-ganhar-awa_0x0_meta-conversao-interesses,"134282,32",9675068,41010219,98551,1746,18150,1544,1451,1,,0,conversao,display
-_Conversao_Conversion_Social-Auction__N/A_Facebook,PBF6EEIFE_Facebook_Multiple_Mixed_Audiencia_t030_SSNT_CPA_Conversao,Display_Banner_KV-Master_4x5_Estatico,"134045,33",16306194,52091503,75439,1675,26907,1981,1829,1,,0,conversao,display
Anitta_Equity_Conversion_Social_NA_N/A_SUSTENTACAO-LP,PBF2FV184_Facebook_Display_Image_Interests_ANITTA-LOVERS_AS_Auction_CARTELA-ESTATICA,Display_Image_CARTELA_0x0_-Anitta,"133290,03",7800854,19738134,48289,1781,25839,435,593,,,1,conversao,display
__-_P_-PIX_A_CONV_BL_-_-_CONV_KVS-CONV-SITE_21_21.7_12.9__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_T024_CPC_TG_T024_MULTIPLE_PO_PO,MULTIPLE_KV-GENÉRICO_7-10S_OTHERS_VID_-PIX_CONV_FB-IG_BL_-_-_CONV_T024_CPC_TG_T024_MULTIPLE_PO_PO,"132607,22",7025624,24260532,96918,2790,34410,3434,2895,2128147,1030597,0,conversao,video 10s
_Viva-sua-Onda_Meta_Awareness_Social Auction_Equity_NA_-alcance-hero30s,PBFPNL9PW6HXF_Meta_Video_Video_Interests_AS-18a49-vivva-sua-onda-NET_SSNT_Brand Awareness_-viva-sua-onda-alcance,Video_Video_-Viva-sua-Onda-Hero-30s_0x0_meta-awareness-interesses,"130661,63",15084948,51575806,63107,119,3412,72,86,1822909,155650,0,awareness,video 30s
__-_E-M_REPLAY_A_BRAND_-_-_-_BRAND_AWARENESS_21_10.12_12.12_BRANDING_AWARENESS_POS-EVENTO,REPLAY_BRAND_FB-IG_-_-_-_BRAND_AWARENESS_CPM_TG_T052_OTHER_PO_PO,VIDEO_WRAP-UP_31-60S_QUAD-VERT_VID_REPLAY_BRAND_IG_-_-_-_BRAND_AWARENESS_CPM_TG_T052_VID_PO_PO,"128373,78",10509121,14652607,139,25,6584,184,45,724156,14382,0,awareness,video 60s
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMPUMLQSU_Facebook_Multiple_IG-Reel_Interests_as-25-35-snacks+futebol_SSNT_CPM_-ucl-awareness,Video_IG-Reel_-ucl-thierry_15s_meta-awareness-snacks+futebol,"128289,89",21536843,70472717,44456,44,16259,,547,2803895,539336,0,awareness,video 15s
__-_I_MAIONESE_A_VID_BL_-_-_VID_-_21_24.11_20.12_BRANDING_AWARENESS_-,MAIONESE_VID_FB-IG_BL_-_-_VID_-_CPM_TG_T020_VIDEO_PO_PO,VIDEO_TEASER_4-6S_QUAD-VERT_VID_MAIONESE_VID_FB-IG_BL_-_-_VID_-_CPM_TG_T020_VIDEO_PO_PO,"127195,56",7024476,19973300,655,79,3926,149,102,7974028,6597439,0,awareness,video 6s
__-_P_O-VERAO-MAIS-HOT_A_REACH_BL_-_-_REACH_AWARENESS-2_21_9.2_11.2,O-VERAO-MAIS-HOT_REACH_FB-IG_BL_-_-_REACH_HERO-MOBILE_CPV_TG_T023_VIDEO_FB-IG_PO_AMPLO,GIF_HERO15S_11-15S_QUAD-VERT_GIF_O-VERAO-MAIS-HOT_REACH_FB-IG_BL_-_-_REACH_HERO-MOBILE_CPV_TG_T023_VIDEO_FB-IG_PO_AMPLO,"125990,05",21962546,22396139,38728,555,13875,411,361,1341677,174574,0,awareness,video 15s
Equity_Equity_Awareness_Social_NA_N/A_Video-Secundário,PBF0T1P09_Facebook_Video_Video_Interests_T021_AS_Auction_feed,Video_Video_Hero_6s_Hero,"125406,48",0,19246131,133592,18,1811,63,20,8880903,7562775,0,awareness,video 6s
__-_I_RAINBOW_A_BRAND_BL_-_-_BRAND_HERO_21_8.6_14.6,RAINBOW_BRAND_FB-IG_BL_-_-_BRAND_HERO-15S_CPM_TG_T008_VIDEO_PO_PO,VIDEO_HERO-15S_11-15S_-_VID_RAINBOW_BRAND_FB-IG_BL_-_-_BRAND_HERO-15S_CPM_TG_T008_VIDEO_PO_PO,"125030,98",21987595,36694846,73,508,16794,312,283,1649921,267213,0,awareness,video 15s
_Farm-2-Pack_Meta_Awareness_Social-Auction_Equity_NA_-videoviews,LAMPXPBFGE_Facebook_Multiple_Mixed_Interests_AS-25-35-Audiencias_SSNT_CPV_-f2p,Video_Video_-f2p-hero-30s_9x16_meta-videoviews-audiencias,"124155,65",10033162,30657650,40837,752,22303,75,3461,3316130,1261922,0,awareness,video 30s
-_Brand-Awareness_Awareness_Social-Auction__N/A_Facebook,PBF5DEGJA_Facebook_Multiple_Mixed_Audiencia_t031_SSNT_CPM_Brand-Awareness,Display_Banner_KV-Master_4x5_Estatico,"121241,71",31580422,47762205,38450,134,8840,619,490,,,0,awareness,display
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Display_Image_-equity-misterios-1_0x0_meta-awareness,"116409,27",37382579,59854773,55856,191,10719,66,302,,,0,awareness,display
Cade-Minha-Heranca_NA_Conversion_Social-Auction__N/A_Conversão,PBFZL6S72_Facebook_Multiple_Mixed_Interests_T042_SSNT_CPM_Brasil,Display_Carousel_OP2_4x5_0s,"116329,28",13109262,28591180,96321,649,21222,3912,5869,,,0,conversao,display
LAB_BR___-Portfolio_educacional_Meta_Awareness_Social-Auction__NA_-alcance,LAMPG3669W_Facebook_Video_Mixed_Interests_as-18a55-sports-net_SSNT_CPM_-educacional-awareness-funcional,Video_Mixed_-educacional-funcional_30s_meta-awareness-sports,"114153,09",39788661,89275783,71386,239,25677,851,799,5780683,189001,0,awareness,video 30s
__-_L_DINAMITA_A_BRAND_BL_-_-_BRAND_AWARENESS_21_30.11_9.12_BRANDING_AWARENESS_BRASIL_BLAST,DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VID_PO_NF,VID_HERO-6S-V2_4-6S_QUAD-VERT_VID_DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VID_PO_NF,"112781,66",22471829,45857748,47484,752,13036,533,2080,1931437,1020252,0,awareness,video 6s
__-_E-M_SWEET-CHILLI_A_BRAND_BL_-_-_BRAND_SWEET-CHILLI_20_8.12_23.12,-SWEET-CHILLI_BRAND_FB-IG_BL_-_-_BRAND_CARROSSEL_CPM_TG_T002_CAROUSEL_PO_NF_AMPLO,CAROUSEL_CARROSSEL_-_QUAD-VERT_CAR_-SWEET-CHILLI_BRAND_FB-IG_BL_-_-_BRAND_CARROSSEL_CPM_TG_T002_CAROUSEL_PO_NF_AMPLO,112125,25238943,65342657,45065,744,32207,1380,1322,,,0,awareness,carrosel
__-_E-M_-TIKTOK_A_BRAND_BL_-_-_BRAND_AWARENESS_21_5.11_24.11_BRANDING_AWARENESS_NORDESTE,-TIKTOK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T103_PHOTOAD_PO_PO,GIF_CHEGOU--TIKTOK_-_QUAD-VERT_GIF_-TIKTOK_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T103_GIF_PO_PO,"111147,29",9024412,42029086,5,85,7459,136,352,1302849,309647,0,awareness,gif
NBA_NA_Awareness_Social-Auction_Innovation_N/A_Video-views-vinheta,PBFR7CQC3_Facebook_Video_Video_Interests_T024_AS_CPM_Vinheta,Video_Video_Vinheta_30s_-,"110973,59",3462646,7100929,203,1,85,,9,4790656,108876,0,awareness,video 30s
_bold-love-pride_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMPIPH8BE_Facebook_Multiple_Mixed_Interests_AS-18a34-BR_SSNT_CPM_-bold-love-awareness,Video_Video_pride-bold-love-15s-2_0x0_meta-awareness,"110971,56",27478558,59783320,37181,23,5799,48,96,1642097,351991,0,awareness,video 15s
___-UEFA__Awareness_Social_NA_N/A_Views-SUSTENTACAO,PBF4HRZY9_Facebook_Multiple_In-Feed_Interests_T11_AS_Video-Views_SUSTENTACAO,Video_Video_-HERO-15S_15s,"110421,84",3546627,8496622,145281,,23,1,15,5748819,5229721,0,awareness,video 15s
_bold-love-pride_Meta_Awareness_Social-Auction_Equity_NA_-alcance,LAMPIPH8BE_Facebook_Multiple_Mixed_Interests_AS-18a34-BR_SSNT_CPM_-bold-love-awareness,Video_Video_pride-bold-love-15s-1_0x0_meta-awareness,"109749,38",28098974,57360421,48215,126,6833,52,68,1804480,310512,0,awareness,video 15s
Cade-Minha-Heranca_NA_Conversion_Social-Auction__N/A_Conversão,PBF1HS85O_Facebook_Multiple_Mixed_Interests_T041_SSNT_CPM_Brasil,Video_Video_Cartelado_4x5_6s,"106375,96",0,23119820,89146,1496,27213,2340,3635,1827783,988830,0,conversao,video 6s
__Conversion_Social_NA_N/A_-,PBFH5FXBD_Facebook_Multiple_Banner_Audiencia_T039_SSNT_Auction_-,Display_Image_Premios_1x1,"106031,05",0,32204063,75814,1208,25215,3431,2861,,,0,conversao,display
_R-_I_SENSACAO_A_VID_BL_-_-_VID_BRASIL_21_11.8_8.9_BRANDING_SUPPORT,SENSACAO_VID_FB-IG_BL_-_-_VID_SUSTENTACAO_CPM_TG_T011_MULTIPLE_PO_PO,VIDEO_HERO6S-2_4-6S_4:5_VID_SENSACAO_VID_FB-IG_BL_-_-_VID_SUSTENTACAO_CPV_TG_T011_MULTIPLE_PO_PO,"105338,86",4798274,11948789,19025,69,3160,184,217,6196604,5345352,0,consideracao,video 6s
_lance-perfeito_Meta_Conversion_Social-Auction__NA_meta-conversao-pincode,Novo conjunto de anúncios de Vendas,Novo anúncio de Vendas,"104766,32",654211,694967,7507,28,1202,190,199,247101,56655,0,conversao,video
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMPV0APY4_Facebook_Multiple_Mixed_Interests_as-25-35-snacks+futebol_AS_CPM_-ucl-awareness,Multiple_Mixed_-ucl-evergreen-fans_10s_meta-awareness-snacks+futebol,"103512,99",24760494,55412407,39667,81,9134,367,355,2418929,513684,0,awareness,video 10s
Cade-Minha-Heranca_NA_Consideration_Direct__N/A_Trafego,PBFYG4E7A_Facebook_Multiple_Mixed_Interests_T041_SSNT_CPM_Brasil,Video_Video_Cachorros_4x5_15s,"100605,11",5332992,17272994,454469,189,7426,78,280,2591394,445368,0,consideracao,video 15s
Equity_Equity_Awareness_Social_NA_N/A_Awareness-Secundário,PBFTGTAMZ_Facebook_Video_Video_Interests_T022_AS_Auction_feed,Video_Video_Hero_6s_Hero,"100149,94",17686569,45224196,57094,75,4892,81,36,1548956,595413,0,awareness,video 6s
__-_L_DINAMITA_A_BRAND_BL_-_-_BRAND_AWARENESS_21_27.11_30.11_BRANDING_AWARENESS_BRASIL,DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VID_PO_NF,VID_TEASER_16-30S_QUAD-VERT_VID_DINAMITA_BRAND_FB_BL_-_-_BRAND_AWARENESS_CPM_TG_T002_VID_PO_NF,"99999,92",19106405,33514437,45233,182,8429,302,806,1435632,210540,0,awareness,video 30s
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Video_Video_equity-hero-30s_0x0_meta-awareness-demo-ago,"99008,35",36043780,58186368,49385,66,12240,107,189,2084097,136916,0,awareness,video 30s
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Video_Video_equity-hero-15s_0x0_meta-awareness-demo-ago,"97970,11",36306685,56682122,42726,71,10943,104,204,1938348,304140,0,awareness,video 15s
__-_L_DINAMITA_A_VID_BL_IN-STREAM_CEL-4_VID_AWARENESS_21_8.12_31.12_BRANDING_SUPPORT_BRASIL,DINAMITA_VID_FB_BL_-_-_VID_AWARENESS_CPM_TG_-_VID_PO_NF,VID_HERO-15S_11-15S_QUAD-VERT_VID_DINAMITA_VID_FB_BL_-_-_VID_AWARENESS_CPM_TG_-_VID_PO_NF_V1,"97818,1",911329,4234589,88190,,1,,,3433716,3113325,0,awareness,video 15s
_equity-nacional_Meta_Awareness_Social-Auction_Equity_NA_-alcance-agosto,LAMP6N679O_Facebook_Video_Mixed_Demo_AS-18-34+-BR_SSNT_CPM_-equity,Video_Video_-equity-motivos_0x0_meta-awareness,"97476,61",31807483,50592453,35016,73,9300,35,348,1343053,205937,0,awareness,video
