Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
16763.55,5624003,3730,,3919,76,25,1024483,496985,0,awareness,gif,meta
16746.24,2428789,1199,,,,,831909,268374,0,consideracao,video,youtube
16730.47,3949289,48136,,4640,187,272,,,0,awareness,display,meta
16729,10517297,14680,,769,18,16,586363,57732,0,awareness,gif,meta
16727.37,13543384,7109,,3754,177,67,823336,256873,0,awareness,video,meta
16708.24,6056434,18233,,4956,,101,552780,38243,0,conversao,video 15s,tiktok
16672.71,16268249,107386,,0,,0,3890259,3070626,0,conversao,video 15s,tiktok
16649.9,2395735,19208,180,4711,611,679,203701,105025,0,conversao,video 6s,meta
16625.87,5750136,24034,121,13308,,84,1046308,19284,1,awareness,video 50s,tiktok
16545.32,2995670,89086,,,,,776108,204136,0,awareness,video,youtube
16543.29,1335681,5258,,,,,637448,168414,0,awareness,video,youtube
16540.49,3664553,11011,,8890,201,124,1006472,603431,0,awareness,video 15s,meta
16535.4,7037191,10528,,2256,85,19,,,0,awareness,carrossel,meta
16525.37,2238821,41101,834,118626,1077,536,,,0,awareness,estatico,meta
16489.72,3586286,22877,,2233,163,213,,,0,conversao,display,meta
16487.57,4347128,35327,468,38347,603,601,1388526,101104,0,awareness,video 30s,meta
16481.9,1348174,2964,,,,,632330,292958,0,awareness,video 15s,youtube
16430.97,2705858,29350,,2820,304,257,,,0,conversao,display,meta
16421.6,7605569,50912,,2800,95,235,,,0,consideracao,display,meta
16420.6,3652133,30910,,3423,271,377,,,0,conversao,display,meta
16399.17,12499391,6070,,822,35,34,,,0,awareness,estatico,meta
16378.96,8796013,84814,,,,,226347,29787,0,awareness,display,youtube
16375.7,2620603,8471,,1599,34,53,117017,57944,0,conversao,video 6s,meta
16374.01,4312543,10353,,,,,575222,51865,0,awareness,video 15s,kwai
16359.1,5308394,19292,56,7590,,36,598248,19696,1,awareness,carrossel,tiktok
16357.56,4201792,13063,536,11,,8,,,0,awareness,texto,twitter
16343.18,5855524,18618,540,6,,1,,,0,awareness,display,twitter
16339.51,5433214,16659,,4869,337,28,1340635,96583,0,awareness,video 15s,meta
