Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
624863.52,54420124,185151,501,47190,1257,1172,3769938,567234,0,awareness,video 15s,meta
477933.51,44077099,60963,,,,,17193093,6664043,0,consideracao,video 30s,youtube
468300.94,122682455,87870,,,,,173207,162295,0,awareness,bumper,youtube
383286.63,119423925,401798,,47858,3426,4356,752,399,0,conversao,display,meta
381176.54,183548753,170231,1802,71116,800,3368,9921577,3307796,1,awareness,stories,meta
363620.86,205131304,231334,,43536,307,813,6695952,3038770,0,awareness,video 6s,meta
361332.11,3240618,51057,1398,11810,566,3199,,,0,consideracao,video,meta
332000,91352360,321209,1549,38372,569,635,5618080,1176717,1,awareness,video 15s,meta
330203.34,35040551,28679,,,,,18891620,9918101,0,awareness,display,youtube
327701.78,112355858,282909,2217,45940,3621,2850,,,0,conversao,display,meta
323721.02,63241044,674835,,,,,0,0,0,awareness,bumper,youtube
321241.93,39065493,36008,,,,,17281577,7633273,0,consideracao,video 30s,youtube
293719.95,27058387,47507,,,,,14426478,7683542,0,consideracao,video 30s,youtube
293531.4,162851443,154016,,23891,121,654,4147948,581027,1,awareness,video,meta
292435.74,49731395,118697,,,,,0,0,0,awareness,bumper,youtube
289650.57,113035798,299138,1122,102070,,1203,8249511,345164,0,awareness,video 31s,tiktok
278957.92,76858209,41310,541,46515,7,1281,7676538,3646572,1,awareness,stories,meta
276173.63,74435657,26276,,,,,23896828,8414073,0,awareness,video,youtube
275548.74,44925735,162053,,45359,1582,380,14125897,3380724,0,consideracao,video 30s,meta
269522.99,28208994,26816,,,,,15447577,8496167,0,awareness,video 30s,youtube
263221.17,132713806,52581525,,,,,3626905,2418783,0,awareness,video,youtube
261672.11,11052139,155084,,3,1,1,8785936,7844729,0,awareness,video,meta
250000,29058321,172837,58277,638,,46,26128845,5333202,0,consideracao,video,twitter
228648.61,85032458,259348,928,93320,,1138,6833880,723388,0,awareness,video 15s,tiktok
227175.55,32550144,123963,4746,26,,18,27597466,4587191,0,awareness,display,twitter
226297.98,32326411,129706,4423,31,,9,27019364,4533080,0,awareness,display,twitter
226064.1,31559246,41623,,,,,29883374,28511727,0,awareness,display,youtube
222259.62,166642707,137732,,27769,470,252,5816841,389987,0,awareness,video 30s,meta
218555.25,42362141,39170,1014,41915,1540,1996,23350126,20368267,0,awareness,video 6s,meta
212963.35,48337963,28244,173,12151,535,1755,5882231,2731739,0,consideracao,video,meta
211235.22,92484115,235762,,43658,,383,5064628,360478,0,awareness,video 15s,tiktok
210203.32,119059864,258744,825,31759,1030,876,5071891,761593,0,awareness,video 15s,meta
207062.29,79482792,140412,,6208,189,136,2917228,243334,0,awareness,video 30s,meta
206778.67,84119900,156947,829,15572,856,1205,107475,20383,0,conversao,múltiplo,meta
206148.94,87266148,108569,,,,,17602324,5203247,0,awareness,video 31s,youtube
199865.94,48880924,93290,,,,,14656430,4370547,0,awareness,video 15s,youtube
197875.63,7965820,79680,2450,13056,118,821,997134,22,0,awareness,video,meta
197767.68,40280398,125978,679,41639,,205,3334796,519846,1,awareness,video,tiktok
197071.33,49074531,67415,,63168,2322,2494,8011332,4055011,0,awareness,video 6s,tiktok
196362.12,1668359,16330,225,3911,417,1767,,,0,consideracao,video,meta
196328.95,64582009,96436,,,,,0,0,0,awareness,video 6s,youtube
195890.83,96675035,321934,1,59951,,542,8868211,446187,0,awareness,video 15s,tiktok
195637.46,45881404,80408,314,30559,664,1448,4154101,1551908,0,awareness,video 15s,meta
181734.55,27650192,61116,112,11744,566,757,2227202,947686,0,awareness,video 6s,meta
180000.05,27753107,45685,,,,,12598412,5736057,0,consideracao,video 30s,youtube
179832.76,94227931,195351,1888,191854,,1416,8564477,1822129,1,awareness,video 6s,tiktok
178601.12,40373094,54225,,,,,0,0,0,consideracao,bumper,youtube
178484.87,54880804,213886,,61,,14,49138240,3435858,0,awareness,video 15s,twitter
177027.43,9875472,4624,34,4318,91,152,6971667,6122654,0,awareness,video 15s,meta
175763.21,54748169,110770,16683,305,,119,46879270,2571502,0,awareness,video 15s,twitter
173461.77,60238698,110809,,7841,207,205,1767659,374892,0,awareness,gif,tiktok
172277.9,84133144,383454,0,123263,,674,18403387,1658207,0,awareness,video 6s,tiktok
172227.15,26248256,27939,,,,,11756816,5225905,0,awareness,video 15s,youtube
170797.47,30067911,22491,,,,,0,0,0,awareness,display,youtube
169168.53,16106649,30123,,,,,8416961,4382712,0,consideracao,video 12s,youtube
168112.4,30487587,72764,764,35985,3096,1952,211171,56065,0,awareness,video 10s,meta
165579.09,121430468,144760,,17902,237,102,4490720,589174,0,awareness,video 15s,meta
159778.52,5582537,81914,2700,10350,130,263,768266,1,0,awareness,video,meta
159640,22744646,74254,,,,,2705985,205925,0,consideracao,video 40s,youtube
159144.82,33845621,77317,669,21850,601,363,2366148,861082,0,awareness,video 6s,meta
156685.69,34674078,171558,,24592,1496,1559,,,0,conversao,display,meta
155285.71,57075554,160975,370,49017,,687,3890212,330076,0,awareness,video 15s,tiktok
153282.52,29394617,105507,,,,,14629062,6921009,0,awareness,video,youtube
152760.03,57075171,64828,,,,254,1391153,3218,0,awareness,stories,meta
152657.96,19703089,58166,,,,,7259859,2670875,0,awareness,video,youtube
151847.92,24677034,42952,,,,,11756730,5605609,0,consideracao,video 15s,youtube
150421.05,71406103,160799,,8492,197,343,3172935,294470,0,awareness,video,meta
149664.22,61085394,124651,292,16198,286,587,2511831,196344,0,awareness,video,meta
149140.57,11823749,18618,,,,,5525323,2553252,0,awareness,video 25s,youtube
148421.55,30361857,30356,,,,,0,0,0,awareness,bumper,youtube
148216.19,17859271,24307,,,,,7602736,3243327,0,awareness,video 15s,youtube
146706.58,12380098,169427,,26532,1700,1292,,,0,conversao,múltiplo,meta
145275.44,28136960,47531,,,,,8122105,2326171,0,awareness,video 15s,youtube
144503.33,66522330,158166,449,29333,576,569,4865651,607950,0,awareness,video 15s,meta
142929.15,44499934,249536,,18888,1629,1525,1,,0,conversao,display,meta
142320.12,52494794,99309,14060,88,,33,1,,0,awareness,texto,twitter
142161.81,24379001,101241,,72,,72,19771736,1276069,0,awareness,video 15s,twitter
141762.64,15819634,132154,1241,22730,302,686,,,0,conversao,display,meta
141156.73,30015110,104265,,,,,57058,53958,0,awareness,bumper,youtube
141068.49,23999822,104484,,79,,84,19438217,5703282,0,awareness,video 6s,twitter
140877.04,77915288,77320,,5522,176,325,2616876,433520,0,awareness,video 15s,meta
140799.88,19262058,20821,,,,,2332966,266191,0,consideracao,video 30s,youtube
140380.55,577913,20990,,744,223,92,168207,32726,0,awareness,video,meta
140147.51,20721264,26582,,,,,19795610,18999826,0,awareness,video 15s,youtube
138119.27,68338686,66428,,12111,298,908,2594633,727402,0,awareness,video,meta
136438.41,48449943,104487,1427,137295,1572,4124,10128280,4503955,0,awareness,video 15s,meta
134208.94,15901244,20826,,,,,15023550,14333969,0,awareness,video 6s,youtube
134045.33,52091503,166707,1675,26907,1981,1829,1,,0,conversao,estatico,meta
133290.03,19738134,124970,1781,25839,435,593,,,1,consideracao,display,meta
133260.76,32668946,80612,,176,,112,24728191,271754,0,awareness,texto,twitter
132954.68,8867362,97746,708,64945,,505,3334221,267405,0,awareness,video 15s,tiktok
132607.22,24260532,206214,2790,34410,3434,2895,2128147,1030597,0,conversao,video 10s,meta
132235.42,9549968,11178,,,,,5103796,2697867,0,awareness,video 30s,youtube
131266.92,20321373,11219,,,,,11520635,6874363,0,awareness,video,youtube
131259.22,29660386,18339,,,,,0,0,0,awareness,bumper,youtube
128373.78,14652607,30509,,6584,184,45,724156,14382,0,awareness,video 60s,meta
128289.89,70472717,60698,,16259,,547,2803895,539336,0,awareness,video 15s,meta
127893.06,47007323,18443,,,,,7194630,2800150,0,awareness,video 15s,youtube
127195.56,19973300,9273,79,3926,149,102,7974028,6597439,0,awareness,video 6s,meta
126784.49,34276181,78885,,,,,72547,65585,0,awareness,video 6s,youtube
125990.05,22396139,80831,,13875,411,361,1341677,174574,0,awareness,gif,meta
125406.48,19246131,137502,18,1811,63,20,8880903,7562775,0,awareness,video 6s,meta
125030.98,36694846,89110,,16794,312,283,1649921,267213,0,awareness,video 15s,meta
124155.65,30657650,66422,,22303,75,3461,3316130,1261922,0,awareness,video 30s,meta
123590.86,8244773,33417,621,32490,,283,870515,96900,0,awareness,video,tiktok
122476.34,27611950,14623,,,781,,,,0,awareness,display,pinterest
121697.77,49922635,119009,,,,,23218562,10729298,0,awareness,video 15s,youtube
121501.4,51159474,103725,490,39692,,249,3503093,311366,1,awareness,video 15s,tiktok
121402.29,14872868,16225,,,,,2893478,492470,0,awareness,display,youtube
121241.71,47762205,72920,,8840,619,490,,,0,awareness,display,meta
121049.95,45175472,209968,1,45372,,342,4848420,197101,0,awareness,video 30s,tiktok
119286.86,21772967,26730,,,,,10215482,4632721,0,awareness,video 15s,youtube
116409.27,59854773,90196,,10719,66,302,,,0,awareness,display,meta
116329.28,28591180,124053,649,21222,3912,5869,,,0,conversao,carrossel,meta
116276.05,32997856,118074,,89,,44,30708281,556147,0,awareness,texto,twitter
115583.24,20069245,66414,,,,,0,0,0,awareness,bumper,youtube
114153.09,89275783,117807,,25677,851,799,5780683,189001,0,awareness,video 30s,meta
114131.72,28387521,22093,,,,,0,0,0,awareness,bumper,youtube
113596.25,57182685,299265,0,31128,,251,5114838,140580,0,awareness,video 30s,tiktok
112855.02,9473978,14929,,,,,0,0,0,awareness,video,youtube
112781.66,45857748,89963,,13036,533,2080,1931437,1020252,0,awareness,video 6s,meta
112125,65342657,106792,,32207,1380,1322,,,0,awareness,carrossel,meta
111147.29,42029086,56479,,7459,136,352,1302849,309647,0,awareness,gif,tiktok
110973.59,7100929,10929,,85,,9,4790656,108876,0,awareness,video 30s,meta
110971.56,59783320,53699,,5799,48,96,1642097,351991,0,awareness,video 15s,meta
110421.84,8496622,146408,,23,1,15,5748819,5229721,0,awareness,video 15s,meta
109749.38,57360421,75566,,6833,52,68,1804480,310512,0,awareness,video 15s,meta
109598.13,48801630,175578,7417,37884,,655,5216183,170190,1,awareness,video,tiktok
108560.07,17481056,86839,903,85293,,580,2098290,585570,1,awareness,video 6s,tiktok
106375.96,23119820,164652,1496,27213,2340,3635,1827783,988830,0,conversao,video 6s,meta
106131.11,48085694,115864,207,23320,,210,2762102,198350,0,awareness,video 15s,tiktok
106031.05,32204063,150723,1208,25215,3431,2861,,,0,conversao,display,meta
105833.35,37294104,157417,696,74839,,669,3272958,387084,1,awareness,video 15s,tiktok
105695.32,16600830,24110,,,,,2893910,718847,0,awareness,video 15s,youtube
105338.86,11948789,28342,69,3160,184,217,6196604,5345352,0,consideracao,video 6s,meta
105275.66,13982144,16929,,,,,6219983,2564499,0,consideracao,video 15s,youtube
104766.32,694967,11237,,1202,190,199,247101,56655,0,conversao,video,meta
104049.24,15202723,120018,1219,63240,,650,5378335,174935,0,awareness,video,tiktok
103806.83,39011337,386685,1415,242377,,3815,10752604,503296,1,awareness,video 60s,tiktok
103721.93,19460212,79081,632,32154,,86,2083786,366919,1,awareness,video,tiktok
103512.99,55412407,65217,,9134,367,355,2418929,513684,0,awareness,video 10s,meta
103371.82,16327057,8582,,,,,8841558,5010511,0,awareness,video,youtube
103041.87,11397349,14370,,3542,77,46,5237765,4506010,0,awareness,video 6s,meta
100662.59,36986565,105601,306,36206,,494,3134766,220800,0,awareness,video 15s,tiktok
100605.11,17272994,519062,,7426,78,280,2591394,445368,0,consideracao,video 15s,meta
100149.94,45224196,94588,,4892,81,36,1548956,595413,0,awareness,video 6s,meta
99999.92,33514437,75853,,8429,302,806,1435632,210540,0,awareness,video 30s,meta
99791.09,23397841,17139,,,,,7772919,2573613,0,awareness,video 15s,youtube
99771.27,73593391,444662,1268,156968,,3117,13759253,679487,0,awareness,video,tiktok
99759.14,16016515,4997,,,,,7610773,3634144,0,awareness,video 30s,youtube
99756.71,21866898,8296,,,455,,12245132,4169258,0,awareness,video 6s,pinterest
99008.35,58186368,76442,,12240,107,189,2084097,136916,0,awareness,video 30s,meta
98560.72,49634162,97216,1875,95106,,229,6226848,287820,1,awareness,video,tiktok
97970.11,56682122,65455,,10943,104,204,1938348,304140,0,awareness,video 15s,meta
97818.1,4234589,88943,,1,,,3433716,3113325,0,awareness,video 15s,meta
97476.61,50592453,50194,,9300,35,348,1343053,205937,0,awareness,video,meta
97038.12,10432882,30320,,,,,1289316,99664,0,consideracao,video 40s,youtube
96931.93,25026172,218924,,66239,,585,6342778,190806,0,consideracao,video 30s,tiktok
95978.99,18741704,20685,,,,,0,0,0,awareness,bumper,youtube
95907.92,42543758,11881,,,,,8978165,1817181,1,awareness,video,youtube
95371.9,51820387,70921,,4542,25,35,1411623,188639,0,awareness,video,meta
95306.34,40208164,449630,1330,248741,,755,10049889,863696,1,awareness,video,tiktok
94818.65,25788954,38905,,19844,446,986,2511410,1049374,0,awareness,video 15s,meta
94341.04,34850023,164742,2614,251954,3736,8961,7945188,3538949,1,awareness,video 15s,meta
93955.26,72763677,69894,,5185,118,47,,,0,awareness,display,meta
93649.51,5395059,34497,,26047,892,499,411406,67240,0,awareness,video 15s,meta
93608.29,22720168,31311,,,,,7230111,2291222,0,awareness,video 30s,youtube
93110.51,18740502,142972,638,28307,2788,2912,2324172,456069,0,conversao,display,meta
92787.84,71299176,79989,,4235,114,276,2492298,435307,0,awareness,video 15s,meta
92627.98,41213717,93325,,8894,60,147,1494695,186921,1,awareness,video,meta
92414.83,72077711,62451,,,,1359,,,0,awareness,display,meta
92283.08,41832352,10075,,6234,6,547,1127821,531889,0,awareness,stories,meta
91976.91,17350375,33903,58,7133,265,700,1164084,189034,0,awareness,video 15s,meta
91694.93,14494154,42907,,,,,3270339,729286,0,awareness,video 15s,youtube
91634.59,24214119,14440,,,,,0,0,0,awareness,bumper,youtube
90747.45,12178651,7815,,,,,0,0,0,awareness,bumper,youtube
90282.78,38511885,70045,132,15357,,10,1907209,335018,0,awareness,video 11s,tiktok
89979.57,9261121,5756,,,,,4852140,2571982,0,awareness,video 30s,youtube
89874.53,69494107,1746262,,,,,4992132,277563,0,awareness,video 15s,youtube
89626.81,44408154,42690,,8690,516,1349,2135073,496361,0,awareness,video,meta
89568.56,20936101,24739,,23940,653,718,3575594,1841523,0,awareness,video 6s,tiktok
88622.9,5908979,17416,27,3581,,24,352975,39588,1,awareness,video 15s,tiktok
88550.04,9543884,5581,,,,,3621431,1382662,0,awareness,video 15s,youtube
86995.7,20854919,109230,430,49700,,677,4246365,538701,0,awareness,video 10s,tiktok
86981.69,20852030,109591,450,49826,,651,4321514,601084,0,awareness,video 10s,tiktok
86540.48,27380948,30740,,,,201,953826,454469,0,awareness,stories,meta
86399.5,9224389,79905,,13708,257,473,,,0,conversao,display,meta
85876.2,37409596,50896,,10745,147,172,1641004,287370,0,awareness,video 15s,meta
85445.25,17162777,15424,,,,,0,0,0,awareness,video 6s,youtube
85309.12,14858574,25348,,,,,7113696,3248114,0,awareness,video 15s,youtube
85250.98,9846472,59841,,10713,492,348,,,0,conversao,display,meta
84616.26,44680870,85765,403,33584,,136,4189955,165106,1,awareness,video,tiktok
84496.12,65242077,96623,,66115,3,1467,7075692,136084,0,awareness,video reels,meta
83855.47,5594100,62151,498,41077,,363,2140966,465152,0,awareness,video 15s,tiktok
83095.25,21431974,232517,,10118,63,164,1029922,158076,0,consideracao,video,meta
82910.19,44522171,51287,,7584,236,290,,,0,awareness,estatico,meta
82548.09,22880623,75345,,17568,1230,196,6012142,1021339,0,awareness,video 15s,meta
82262.355,27119311,60510,,,,,3066830,274683,0,awareness,video 15s,kwai
81982.76,40945922,36600,,6025,141,475,2796333,543314,0,awareness,display,meta
81507.54,36565183,151815,286,17535,,176,1852001,134689,0,awareness,video 15s,tiktok
81416.68,9345120,8509,,,,,0,0,0,consideracao,video 6s,youtube
80650.82,44796524,14523,,17955,4,331,2115048,1019336,1,awareness,gif,meta
80511.66,24530970,213564,,148929,,505,5721345,1585878,0,awareness,video,tiktok
80510.62,30443595,151748,7693,115,,42,2,,0,conversao,display,twitter
80405.13,22133701,62649,,,,,0,0,0,awareness,bumper,youtube
80220.5,11721245,95461,992,55366,,613,3994132,134982,0,awareness,video,tiktok
80191.97,34534221,67974,,25500,324,203,1571879,237422,0,awareness,video 15s,meta
79982.04,17388156,117121,135,88609,,786,7345886,76573,0,consideracao,video 30s,tiktok
79965.56,25461857,86890,,,,,0,0,0,consideracao,bumper,youtube
79806.87,20293416,14264,,,,,0,0,0,awareness,bumper,youtube
79726.48,9497601,74345,,13789,857,1097,627832,263143,0,conversao,video 10s,meta
79583.05,43879044,54716,,8194,176,198,1762167,806498,0,awareness,estatico,meta
79403.49,11872605,29414,,,,,11119471,10495669,0,consideracao,bumper,youtube
79303,20587462,195310,61378,1044,,342,1,1,1,consideracao,texto,twitter
79299.21,4820863,34253,,7276,208,136,,,0,conversao,display,meta
79120.93,16322474,8604,,,,,0,0,0,awareness,video 6s,youtube
79028.38,9553872,46776,13,3542,138,204,4191694,2923495,0,consideracao,video 7s,meta
79000,3709573,16116,4715,36,,2,,,0,awareness,texto,twitter
78663.8,31475575,55964,,19658,307,218,1613573,158215,0,awareness,video 30s,meta
78003.93,12345654,392052,,,,,0,0,0,awareness,video 6s,youtube
77881.9,39812380,56335,,3710,425,81,,,0,awareness,carrossel,meta
77552.94,9191355,30021,,114641,3804,6170,4295725,2566149,0,awareness,video 30s,meta
77393.68,40254419,59351,,7326,384,2904,1,,0,awareness,display,meta
77078.62,16882225,26924,,,,,4912985,1405605,0,awareness,video 15s,youtube
76882.3,13360467,2157,30,728,38,29,9819446,9320582,0,awareness,video,meta
76534.53,7151341,28293,,,,,1330541,237502,0,awareness,video 15s,youtube
76380.13,3946413,820,,3304,2,22,2858925,2264521,0,awareness,video 30s,meta
75723.91,14654153,155150,,3041,44,75,823378,150487,0,consideracao,video 15s,meta
75440.41,18449258,37659,,,,,0,0,0,consideracao,bumper,youtube
75142.28,9819589,23871,,,,,4069211,1688681,0,awareness,video,youtube
74976.9,21126894,22749,,,,,0,0,0,consideracao,bumper,youtube
74873.14,44373746,117488,2372,72277,2647,7422,,,0,awareness,estatico,meta
74646.4,28339155,24869,,5605,,2768,780008,517870,0,awareness,stories,meta
74406.62,21005078,39337,,,,,0,0,0,awareness,video 6s,youtube
74179.45,10273969,3069,63,2746,108,83,6607332,5985124,0,awareness,video 6s,meta
73979.02,50579514,50886,,11790,,385,1685252,142637,0,awareness,video,meta
73971.54,18610429,26362,,6063,258,174,1045806,84299,0,awareness,video,meta
73770.85,16047834,80980,,19829,,332,2445808,165107,0,awareness,video,tiktok
73732.13,16039251,82616,,19613,,254,2297203,161433,0,awareness,video,tiktok
73719.2,32724970,117947,782,607050,2469,14640,16852347,1720681,1,awareness,video 15s,meta
73419.62,13729233,159816,,5546,97,110,935242,204186,0,consideracao,video 15s,meta
73238.45,44445471,109447,,17374,,130,1749576,47746,0,awareness,video,tiktok
73002.89,41979268,97493,1193,84107,2785,3624,3302336,415516,0,awareness,video 30s,meta
72767.88,7743365,25675,,,,,858622,63023,0,consideracao,video 40s,youtube
72423.46,56065835,61331,,5271,248,86,2469387,325511,0,awareness,video 15s,meta
72408.21,26484519,123296,,77136,,380,4601292,343820,0,awareness,video 15s,tiktok
71815.17,31317489,42039,,1690,53,30,978163,182984,0,awareness,video 15s,meta
71659.93,32280869,65313,,24509,386,229,2690096,311825,0,awareness,video 15s,meta
71588.39,14146306,78245,666,18933,2017,2855,1204313,657097,0,conversao,video 6s,meta
71279.08,51127250,67144,,7714,81,112,2114266,938159,1,awareness,video 6s,meta
71180.75,23480481,42863,3291,99,,15,19357582,883981,1,awareness,video 15s,twitter
71179.21,18657745,4818,,,290,,11266106,676258,0,awareness,video,pinterest
70853.79,36282486,62265,270,23369,,98,1975107,307371,1,awareness,video,tiktok
70711.09,3221614,30955,,,,,727055,128398,0,conversao,video 15s,youtube
70312.84,33085582,30500,,3754,198,55,1,,0,awareness,estatico,meta
69926.87,25787140,64395,,18765,401,235,3107390,476966,0,awareness,video 30s,meta
69891.93,17863393,13399,,,,,0,0,0,awareness,bumper,youtube
69496.84,11369042,14109,371,10447,424,467,3812102,3106356,0,awareness,video,meta
69411.29,4190876,81724,22778,349,,52,,,1,consideracao,display,twitter
69354.08,14533074,6499,,,,,0,0,0,awareness,bumper,youtube
69106.26,8462971,10838,,,,,4526804,2397395,0,consideracao,video 15s,youtube
69078.1,63755911,63049,,1854,35,92,1793311,905647,0,awareness,video 6s,meta
69037.83,34570357,24589,,1793,134,238,1112010,227312,0,awareness,video 15s,meta
68988.25,28218545,158096,,13109,,148,1472526,99446,0,awareness,video,tiktok
68594.42,17393746,59874,,7132,82,172,817661,213165,0,awareness,video 15s,meta
68473.31,20783114,71102,,10541,457,240,,,0,awareness,estatico,meta
68353.32,14372171,115286,,11568,1464,1527,,,0,conversao,display,meta
68251.22,27721548,40899,,5262,153,296,1578167,177290,0,awareness,video 15s,meta
68020.12,7760109,489669,,2770,36,125,621616,111729,0,consideracao,video 15s,meta
68000.14,33140640,61605,557,8244,274,677,,,0,awareness,estatico,meta
67951.68,15636831,31767,,47640,661,1041,6468789,2986946,0,consideracao,video 6s,meta
67668.2,24051338,109335,110,14573,,74,1322200,77799,0,awareness,video 20s,tiktok
67631.53,5089204,81391,,2306,108,327,2665101,2134611,0,awareness,estatico,meta
67339.99,15095401,777097,0,0,,0,1516839,1287626,0,conversao,video 15s,tiktok
67266.71,19536947,55688,4146,67,,12,,,0,awareness,display,twitter
67144.24,21498881,31030,,,,,18760049,16515367,0,awareness,video 6s,youtube
67023.96,10255908,161442,4348,89249,,3769,2537106,61275,1,awareness,video 40s,tiktok
66781.61,65356623,324537,682,78184,,2016,9091675,485297,0,awareness,video,tiktok
66612.47,13786869,13735,,,,,0,0,0,awareness,bumper,youtube
66572.21,43339377,14023,,7137,,257,2364055,150943,0,awareness,video reels,meta
66562.51,42024894,47904,,5249,55,100,1257371,221734,0,awareness,video,meta
66481.87,16586504,43114,181,19419,391,623,4057583,2098325,0,awareness,video 15s,meta
66111.14,30979918,66239,,2924,46,132,1067247,269119,0,awareness,video 10s,meta
66074.6,9743853,36045,72,6080,256,925,4296438,2634489,0,consideracao,video 7s,meta
65873.6,10068615,5823,,,,,1840348,197653,0,awareness,video 15s,youtube
65860,7742658,28391,,1956,12,57,,,0,awareness,estatico,meta
65728.54,508635,8326,,1918,82,467,,,0,awareness,estatico,meta
65359.76,10179529,49172,394,11128,420,615,,,0,conversao,display,meta
65257.05,53870432,87649,2061,43840,1732,7959,,,0,awareness,estatico,meta
65136.57,11074751,2990,,,,,3304793,995622,0,awareness,video 15s,youtube
64935.34,29007497,45593,156,5989,113,636,1121391,304434,0,awareness,video,meta
64811.07,28984076,60993,373,10902,586,584,1,1,0,conversao,display,meta
64782.99,25812976,54028,,,,,13301756,6819810,0,awareness,video 15s,youtube
64744.84,5833340,23992,3105,19,,4,,,0,awareness,estático,twitter
64690.82,5636335,12396,,,,,0,0,0,awareness,video,youtube
64652.26,9065380,151700,559,90784,,1848,3336483,105770,1,awareness,video,tiktok
64450.35,32319090,29954,,2929,181,56,1362472,76138,1,awareness,video,meta
64373.18,32998085,133357,2167,130969,,214,10038258,207730,1,awareness,video,tiktok
64161.98,15988769,59375,,36,,9,15360112,4253466,0,awareness,texto,twitter
63844.4,21327692,101963,,,,,11574663,6263050,0,consideracao,video 10s,youtube
63730.74,23940972,28990,,8336,236,229,1170723,687352,0,awareness,video,meta
63550.06,8635688,104182,281,46826,,308,1803840,118474,1,awareness,video 40s,tiktok
63493.86,11665963,96309,,2708,33,53,648073,120943,0,consideracao,video 15s,meta
63470.92,8005858,40859,,7349,54,131,,,0,awareness,display,meta
63216.48,11224914,3012,,,,,0,0,0,consideracao,bumper,youtube
63077.47,22815962,18116,,,,,11443024,5739821,0,awareness,video 30s,youtube
63073.12,24139057,57447,,2924,37,42,1027054,1017487,1,awareness,video 3s,meta
62854.39,28817581,67874,,10731,153,318,,,0,awareness,display,meta
62837.46,3468816,769,,151,6,4,2649834,2390150,0,awareness,video 15s,meta
62822.95,6936083,16797,,,,,3104627,491773,0,consideracao,video,youtube
62641.1,14796493,20449,,8063,332,197,950961,372029,0,awareness,video,meta
62608.27,22274251,28437,,22758,701,1164,1535422,580939,0,awareness,video 6s,meta
62492.75,51078768,29034,,7111,310,538,1363106,601930,0,awareness,video 6s,meta
62488.61,9651748,50913,6154,117,,22,8012100,532125,0,awareness,video 15s,twitter
62447.19,12813301,32751,,,,,1952748,289397,0,awareness,video 30s,youtube
62446.93,19311414,10299,,,,,0,0,0,awareness,video 15s,youtube
62398.58,24630656,129218,,10617,,110,1283767,91714,0,awareness,video,tiktok
62207.47,51581886,450422,,,,,1220606,417569,0,awareness,video 15s,youtube
61786.24,14889240,53402,,22,,8,14411495,1242772,0,awareness,texto,twitter
61778.88,8714154,8241,,,,,4281099,2094314,0,consideracao,video 15s,youtube
61772.8,32205077,59635,,6638,52,202,2064371,248492,0,awareness,video 15s,meta
61647.73,26720241,38301,,,,140,802074,113064,1,awareness,stories,meta
61641.86,47650766,35629,,5577,98,370,1379863,378476,0,awareness,video,meta
61622.61,14774058,83523,369,35672,,450,3225916,261897,0,awareness,display,tiktok
61570.12,14569616,63659,,63,,9,14219074,1339162,0,awareness,texto,twitter
61484.77,24430840,130881,1669,737221,1922,41832,12166135,2185863,1,awareness,video 15s,meta
61441.61,19972285,112612,,8865,,88,1239400,77074,0,awareness,video,tiktok
61401.1,41872393,257495,,81,,27,44846119,3522837,0,consideracao,video 15s,twitter
61186.71,64022291,71174,,14015,163,140,2438613,590332,0,awareness,video 6s,meta
61125.6,17347344,24893,,,,,0,0,0,awareness,bumper,youtube
61001.9,7550383,58505,206,16536,,93,625032,75430,1,awareness,video 12s,tiktok
60941.35,16414335,12745,,,,,0,0,0,awareness,bumper,youtube
60878.18,19106329,72485,,8541,256,766,2718474,927860,0,awareness,video 6s,meta
60824.7,32204459,206203,,7873,42,178,,,0,conversao,display,meta
60750.21,27823910,28449,,1984,88,113,,,0,awareness,display,meta
60631.2,15412710,15370,,14231,405,223,2230163,1072411,0,awareness,video 6s,tiktok
60616.52,3921511,54717,,2074,104,141,1784847,1513536,0,awareness,video 15s,meta
60483.52,3653663,12743,,,,,3435261,3253879,0,awareness,video 6s,youtube
60260.63,27035294,35077,,4229,178,52,,,0,awareness,carrossel,meta
60238.54,1409446,22307,,1971,27,75,226787,,0,consideracao,video,meta
60235.45,2383836,33740,,4003,30,56,232807,,0,consideracao,video,meta
60136.59,46022273,38293,,3590,291,74,1510152,273981,0,awareness,video,meta
59999.99,6275207,78916,,10470,430,1190,2644880,1754626,0,awareness,video 6s,meta
59991.35,17109267,19409,,,,,0,0,0,consideracao,bumper,youtube
59990.94,17169200,20260,,,,,0,0,0,consideracao,bumper,youtube
59976.2,16605718,24384,,,,,0,0,0,consideracao,bumper,youtube
59940.36,7422065,88057,27367,192,,161,10,,1,consideracao,texto,twitter
59900.04,7939774,71103,,11136,1115,1678,779969,438128,0,conversao,video 6s,meta
59556.92,31848148,31452,,,,71,696235,3087,0,awareness,stories,meta
59455.25,1401727,27077,,2459,37,131,211801,3,0,awareness,video,meta
59178.13,5646688,6713,,,,,3152564,1691666,0,awareness,display,youtube
59165.71,26959243,116699,797,57461,2066,915,2915945,198014,0,awareness,video,meta
59155.8,5141513,6530,,,,,2523082,1151030,0,awareness,video 15s,youtube
59017.96,14723669,8351,,,431,,,,0,awareness,display,pinterest
58699.86,3292126,612,,3971,199,268,2922935,2608425,0,awareness,video 30s,meta
58693.95,9394119,14688,,,,,3985724,1692737,0,consideracao,video 15s,youtube
